# Max HMW Mai-Sept Illmitz 2011
# mu g/m^3
 1.05. 114
 2.05. 123
 3.05. 90 
 4.05. 101
 5.05. 109
 6.05. 123
 7.05. 133
 8.05. 99 
 9.05. 125
10.05. 127
11.05. 136
12.05. 146
13.05. 119
14.05. 130
15.05. 116
16.05. 100
17.05. 86 
18.05. 109
19.05. 126
20.05. 140
21.05. 139
22.05. 138
23.05. 128
24.05. 121
25.05. 132
26.05. 139
27.05. 138
28.05. 84 
29.05. 115
30.05. 133
31.05. 134
 1.06. 120
 2.06. 77 
 3.06. 139
 4.06. 128
 5.06. 114
 6.06. 107
 7.06. 97 
 8.06. 113
 9.06. 100
10.06. 120
11.06. 130
12.06. 102
13.06. 130
14.06. 106
15.06. 121
16.06. 108
17.06. 98 
18.06. 85 
19.06. 86 
20.06. 87 
21.06. 99 
22.06. 141
23.06. 105
24.06. 96 
25.06. 99 
26.06. 83 
27.06. 106
28.06. 116
29.06. 131
30.06. 136
 1.07. 104
 2.07. 103
 3.07. 84 
 4.07. 89 
 5.07. 88 
 6.07. 124
 7.07. 144
 8.07. 114
 9.07. 135
10.07. 132
11.07. 119
12.07. 119
13.07. 136
14.07. 123
15.07. 87 
16.07. 118
17.07. 129
18.07. 105
19.07. 112
20.07. 82 
21.07. 80 
22.07. 94 
23.07. 84 
24.07. 82 
25.07. 70 
26.07. 76 
27.07. 124
28.07. 73 
29.07. 104
30.07. 109
31.07. 76 
 1.08. 49 
 2.08. 102
 3.08. 113
 4.08. 99 
 5.08. 111
 6.08. 100
 7.08. 105
 8.08. 81 
 9.08. 74 
10.08. 72 
11.08. 94 
12.08. 105
13.08. 77 
14.08. 95 
15.08. 95 
16.08. 112
17.08. 106
18.08. 106
19.08. 112
20.08. 115
21.08. 106
22.08. 129
23.08. 120
24.08. 147
25.08. 143
26.08. 147
27.08. 128
28.08. 100
29.08. 106
30.08. 113
31.08. 115
 1.09. 121
 2.09. 114
 3.09. 113
 4.09. 126
 5.09. 100
 6.09. 101
 7.09. 96 
 8.09. 79 
 9.09. 62 
10.09. 112
11.09. 126
12.09. 90 
13.09. 112
14.09. 96 
15.09. 86 
16.09. 107
17.09. 115
18.09. 120
19.09. 76 
20.09. 49 
21.09. 68 
22.09. 96 
23.09. 97 
24.09. 105
25.09. 110
26.09. 121
27.09. 169
28.09. 90 
29.09. 84 
30.09. 103
